metric,metric_label_short ,metric_label_long
cpi_all,CPI: All Items,Consumer Price Index: All Items
personal_income,Income,Per Capita Personal Income
electric_kwh,Electricity,"Electriciy, Average Price per kWh"
gasoline_unleaded,Gasoline,"Unleaded Gasoline, Average Price per Gallon"
home_list_price,Home Price,Average Home Listing Price
unemploy_rate,Unemployment,Unemployment Rate
pop_resident,Population,"Resident Population, Thousands of Persons"
cpi_rent,CPI: Rent,Consumer Price Index: Rent
min_wage_state,Minimum Wage,"State Minimum Wage, Dollars per Hour"
new_housing,New Housing,Permits for New Private Housing Structures